Taxa	F01_Proteins	F06_Proteins	F07_Proteins	F08_Proteins	F01_Peptides	F06_Peptides	F07_Peptides	F08_Peptides	Feces_MG	Feces_MT
Acidaminococcaceae_	0.21	0.28	0.25	0.3	0.57	0.73	0.64	0.88	0.356832028	0.386100386
Actinomycetaceae_	NA	NA	NA	NA	0.06	0.05	0.08	0	0.091383812	0.064350064
Akkermansiaceae_	0.07	0.12	0.1	0.09	0	0.09	0.07	0.19	0.322019147	0.064350064
Bacteroidaceae_	3.34	2.21	1.77	10.27	16.04	12.59	9.51	36.32	8.128807659	2.123552124
Barnesiellaceae_	0	0	0	0.15	0.09	0.07	0	0	1.758050479	0.579150579
Bifidobacteriaceae_	0.57	0.82	0.78	0.23	4.2	8.96	9.23	1.07	1.932114883	0.707850708
Clostridiaceae_	6.52	7.13	7.09	6.79	1.74	0.51	0.61	1.79	7.053959965	6.756756757
Coriobacteriaceae_	0.29	0.31	0.34	0.22	0.57	0.7	0.81	0.05	0.200174064	0.386100386
Eggerthellaceae_	0.21	0.27	0.27	0.18	0.75	0.87	0.87	0.08	0.761531767	3.281853282
Erysipelotrichaceae_	0.47	0.63	0.75	0.55	0.2	0	0.06	0.11	0.082680592	0.257400257
Eubacteriaceae_	4.08	3.92	3.99	3.84	2.15	0.6	0.85	1.12	4.251523064	2.187902188
Lachnospiraceae_	59.17	61.81	61.64	51.01	25.74	19.41	20.99	14.2	25.48738033	26.8983269
Odoribacteraceae_	0.13	0.2	0.18	0.34	0.27	0.19	0.2	0.24	0.087032202	0.064350064
Oscillospiraceae_	0.47	0.51	0.6	0.59	1.42	0.66	0.7	1.39	0.9051349	1.673101673
Others_	0.26	0.34	0.35	0.3	0.73	0.68	0.92	0.83	0.108790252	NA
Peptostreptococcaceae_	0.38	0.4	0.42	0.33	0.41	0.55	0.82	0.43	0.317667537	0.128700129
Prevotellaceae_	0.11	0.09	0.09	0.27	0.69	0.19	0.36	0.61	NA	NA
Rhodospirillaceae_	0.15	0.14	0.13	0.64	0.84	0.58	0.5	3.17	2.380330722	0.321750322
Rikenellaceae_	0.53	0.57	0.52	1.88	3.44	1.57	1.34	6.95	7.811140122	2.059202059
Ruminococcaceae_	21.53	18.48	19.15	20.48	35.72	44.21	44.77	28.64	34.32114883	48.64864865
Spirochaetaceae_	NA	NA	NA	NA	0	0	0	0.05	NA	NA
Streptococcaceae_	1.04	1.37	1.26	0.54	3.87	6.02	6.17	0.91	1.914708442	2.445302445
Tannerellaceae_	0.22	0.16	0.14	0.64	0.26	0.14	0.14	0.4	0.691906005	0.257400257
Veillonellaceae_	0.07	0.12	0.1	0.15	0.23	0.65	0.34	0.59	0.700609225	0.45045045
Lactobacillaceae_	0.12	0.1	0.1	0.13	NA	NA	NA	NA	NA	NA
Peptococcaceae_	0.06	0	0	0.06	NA	NA	NA	NA	NA	NA
Sutterellaceae_	NA	NA	NA	NA	NA	NA	NA	NA	0.335073977	0.193050193
Leuconostocaceae_	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.064350064
